,Name,Price,Rating,Reviews,Product Link,Image
0,"APPLE iPhone 14 (Midnight, 128 GB)","₹69,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-midnight-128-gb/p/itm9e6293c322a84?pid=MOBGHWFHECFVMDCX&lid=LSTMOBGHWFHECFVMDCX8AI8PX&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_1&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFHECFVMDCX.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
1,"APPLE iPhone 14 (Purple, 128 GB)","₹69,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-purple-128-gb/p/itm0b581eba85e08?pid=MOBGHWFHQFSQYBFU&lid=LSTMOBGHWFHQFSQYBFU9AP8AR&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_2&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFHQFSQYBFU.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70
2,"APPLE iPhone 14 (Starlight, 128 GB)","₹69,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-starlight-128-gb/p/itm3485a56f6e676?pid=MOBGHWFHABH3G73H&lid=LSTMOBGHWFHABH3G73HVXY5AV&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_3&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFHABH3G73H.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
3,"APPLE iPhone 14 (Blue, 128 GB)","₹69,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-blue-128-gb/p/itmdb77f40da6b6d?pid=MOBGHWFHSV7GUFWA&lid=LSTMOBGHWFHSV7GUFWAIB1T9P&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_4&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFHSV7GUFWA.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
4,"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","₹67,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-product-red-128-gb/p/itm1f78a4e1a1d76?pid=MOBGHWFHFBJVSW22&lid=LSTMOBGHWFHFBJVSW22H8TJ3V&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_5&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFHFBJVSW22.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70
5,"APPLE iPhone 14 (Yellow, 128 GB)","₹69,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-yellow-128-gb/p/itmaa0785520dd68?pid=MOBGNHT7HJFDHHAC&lid=LSTMOBGNHT7HJFDHHACULC6HX&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_6&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGNHT7HJFDHHAC.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/e/l/d/-original-imagnhusa2upmgeq.jpeg?q=70
6,"APPLE iPhone 14 ((PRODUCT)RED, 256 GB)","₹80,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-product-red-256-gb/p/itmc370e3b74a893?pid=MOBGHWFHVPXVSKNJ&lid=LSTMOBGHWFHVPXVSKNJ3BQTNP&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_7&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFHVPXVSKNJ.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70
7,"APPLE iPhone 14 (Midnight, 256 GB)","₹80,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-midnight-256-gb/p/itmdb32e3c997112?pid=MOBGHWFH4H3MMRAA&lid=LSTMOBGHWFH4H3MMRAAYJIH95&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_8&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFH4H3MMRAA.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
8,"APPLE iPhone 14 (Blue, 512 GB)","₹1,00,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-blue-512-gb/p/itm6f59f7f999d00?pid=MOBGHWFHYRWUSHCF&lid=LSTMOBGHWFHYRWUSHCF8A0VGL&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_9&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFHYRWUSHCF.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
9,"APPLE iPhone 14 (Purple, 256 GB)","₹80,999",4.6,"['Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.', 'Just awesome!!\nI switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.\n\nCamera is best. Battery giving a full day. Speaker sounds wide and clear.\n\nMust buy!!', ""Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.\nBuilt quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."", '', '', '', '', '', '', '']",https://www.flipkart.com/apple-iphone-14-purple-256-gb/p/itmb2bf402090fae?pid=MOBGHWFHQHE7ZPSB&lid=LSTMOBGHWFHQHE7ZPSBUUK6V6&marketplace=FLIPKART&q=iPhone14&store=tyy%2F4io&srno=s_1_10&otracker=search&iid=09977731-99bb-4245-8020-5a3e92ee4d8f.MOBGHWFHQHE7ZPSB.SEARCH&ssid=t9almz145c0000001687369331660&qH=0f365113919eb716,https://rukminim1.flixcart.com/image/416/416/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70
